iter	Passed	Remaining
184	235	1037
185	235	1032
186	236	1027
187	236	1023
188	237	1018
189	237	1014
190	238	1009
191	238	1005
192	239	1000
193	239	996
194	240	991
195	240	987
196	241	983
197	241	978
198	242	974
199	242	970
200	243	965
201	243	962
202	244	958
203	244	954
204	245	951
205	245	947
206	246	943
207	246	939
208	247	935
209	247	931
210	248	927
211	248	924
212	249	920
213	249	916
214	250	913
215	250	909
216	251	906
217	251	902
218	252	899
219	252	895
220	253	892
221	253	888
222	254	885
223	254	881
224	254	878
225	255	874
226	255	871
227	256	868
228	256	865
229	257	862
230	258	858
231	258	855
232	258	852
233	259	849
234	259	846
235	260	843
236	260	840
237	261	836
238	261	833
239	262	831
240	263	829
241	263	826
242	264	823
243	264	820
244	265	817
245	265	815
246	266	812
247	266	809
248	267	806
249	267	803
250	268	800
251	268	797
252	269	795
253	269	792
254	270	789
255	270	786
256	271	784
257	271	781
258	272	778
259	272	776
260	273	773
261	273	770
262	274	768
263	274	765
264	275	763
265	275	761
266	276	758
267	276	756
268	277	753
269	277	750
270	278	748
271	278	746
272	279	743
273	279	741
274	280	739
275	280	736
276	281	734
277	281	732
278	282	730
279	283	727
280	283	725
281	284	723
282	284	721
283	285	718
284	285	716
285	286	714
286	286	712
287	287	709
288	287	707
289	288	705
290	288	703
291	289	701
292	289	699
293	290	697
294	290	694
295	291	692
296	291	690
297	292	688
298	292	686
299	293	685
300	294	683
301	294	681
302	295	679
303	295	677
304	296	674
305	296	672
306	297	670
307	297	668
308	298	666
309	298	664
310	299	662
311	299	660
312	300	658
313	300	656
314	301	654
315	301	652
316	302	651
317	302	649
318	303	647
319	303	645
320	304	643
321	304	641
322	305	639
323	305	637
324	306	635
325	306	633
326	307	632
327	307	630
328	308	628
329	308	626
330	309	624
331	309	622
332	310	621
333	310	619
334	311	617
335	311	615
336	312	614
337	312	612
338	313	610
339	313	608
340	314	606
341	314	605
342	315	603
343	315	601
344	315	599
345	316	598
346	317	596
347	317	594
348	317	593
349	318	591
350	318	589
351	319	588
352	320	586
353	320	584
354	321	583
355	321	581
356	322	580
357	322	578
358	323	576
359	323	575
360	324	573
361	324	572
362	325	570
363	325	569
364	326	567
365	326	565
366	327	564
367	327	562
368	328	561
369	328	559
370	329	557
371	329	556
372	330	554
373	330	553
374	331	551
375	331	550
376	332	548
377	332	547
378	333	545
379	333	544
380	334	542
381	334	541
382	335	539
383	335	538
384	336	536
385	336	535
386	337	533
387	337	532
388	338	531
389	338	529
390	339	528
391	339	526
392	339	525
393	340	523
394	340	522
395	341	520
396	341	519
397	342	517
398	342	516
399	343	515
400	343	513
401	344	512
402	344	510
403	345	509
404	345	508
405	346	506
406	346	505
407	347	504
408	347	502
409	348	501
410	348	499
411	349	498
412	349	497
413	350	495
414	350	494
415	351	493
416	351	491
417	352	490
418	352	489
419	353	487
420	353	486
421	354	485
422	354	483
423	355	482
424	355	481
425	356	480
426	356	478
427	357	477
428	357	476
429	358	474
430	358	473
431	359	472
432	359	471
433	360	469
434	360	468
435	361	468
436	362	466
437	362	465
438	363	464
439	363	463
440	364	461
441	364	460
442	365	459
443	365	458
444	366	457
445	367	455
446	367	454
447	368	453
448	368	452
449	369	451
450	369	450
451	370	448
452	370	447
453	371	446
454	371	445
455	372	444
456	372	443
457	373	442
458	374	440
459	374	439
460	375	438
461	375	437
462	376	436
463	376	435
464	377	434
465	377	432
466	378	431
467	378	430
468	379	429
469	379	428
470	380	427
471	380	426
472	381	424
473	381	423
474	382	422
475	382	421
476	383	420
477	383	419
478	384	418
479	384	416
480	385	415
481	386	414
482	386	413
483	387	412
484	387	411
485	388	410
486	388	409
487	389	408
488	389	407
489	390	406
490	390	405
491	391	404
492	392	403
493	392	402
494	393	401
495	393	400
496	394	399
497	394	398
498	395	397
